ngram,count
", and",7138
", i",4158
", my",2121
"you ,",1874
i am,1769
i 'll,1741
", sir",1675
my lord,1612
"me ,",1588
", that",1578
in the,1556
i have,1530
", for",1530
to the,1488
i will,1484
", but",1437
"sir ,",1434
", the",1411
't is,1373
of the,1359
", to",1230
"lord ,",1126
", you",1082
"o ,",1060
", if",1054
", as",1041
it is,1016
"him ,",970
to be,937
"come ,",934
", he",876
"now ,",863
that i,852
", --",847
"why ,",833
", with",817
", or",800
i do,794
: i,787
", in",787
"well ,",777
"and ,",773
and i,757
", a",755
"it ,",747
the king,747
can not,734
"thee ,",733
"no ,",729
and the,702
"'d ,",697
"ay ,",685
is the,682
you .,678
you are,675
of my,674
it .,668
is a,657
"not ,",656
"so ,",636
i would,632
", thou",630
he is,622
me .,615
", let",615
is not,610
you have,607
i know,599
him .,599
. i,597
by the,563
", by",563
", good",562
", what",561
' the,559
"nay ,",558
with the,550
", which",548
of his,547
with a,539
i can,534
if you,530
as i,529
", then",526
shall be,526
all the,519
of a,519
for the,518
"then ,",518
", it",500
no more,496
thou art,495
"what ,",493
"but ,",489
let me,487
will not,486
like a,483
of this,477
", we",472
of your,464
this is,462
in my,460
in his,457
to my,452
do not,451
out of,444
a man,441
in a,440
to me,439
if i,438
the world,436
from the,428
in this,425
such a,425
", so",425
: and,420
", when",419
: but,419
on the,414
"love ,",413
there is,413
"say ,",412
"her ,",408
"that ,",408
that 's,404
"here ,",397
that you,396
"i ,",395
"man ,",393
me to,389
you shall,388
", 't",388
and so,387
there 's,387
i pray,379
i think,379
i shall,378
", no",376
", this",375
o ',373
but i,368
i ',367
pray you,366
lord .,364
to you,362
. the,362
do you,362
", come",359
"madam ,",355
thou hast,355
", how",354
", like",352
for a,349
. ',348
"is ,",348
give me,343
not be,343
", '",340
with me,340
", nor",339
to make,338
the duke,336
", not",333
"them ,",332
thee .,332
what 's,332
to your,330
i must,329
", be",326
they are,325
at the,325
"king ,",325
i had,324
"this ,",321
when i,317
", there",317
we 'll,316
"go ,",315
", they",315
will be,314
", she",314
he hath,314
my heart,313
", is",313
", who",311
in your,311
i say,311
and his,311
and a,310
that he,309
with him,308
what is,307
for my,306
of it,306
he 's,303
if thou,303
of our,301
i was,301
for i,301
and all,300
and that,300
of all,299
and to,299
[ aside,299
! i,297
to him,297
how now,294
me :,294
and my,292
come to,290
to his,289
: the,288
my father,285
", your",284
you to,282
we have,282
. but,281
"hand ,",281
she is,281
of her,279
's a,277
and in,277
sir .,275
upon the,270
more than,270
to do,269
you ?,269
that is,267
we are,266
not to,266
with you,265
", his",264
", go",263
not so,262
"us ,",262
and you,261
: if,261
to a,261
is no,260
", madam",259
so .,259
let us,258
should be,258
", do",257
"all ,",257
tell me,256
's the,256
i did,255
: he,255
would not,255
"life ,",255
as you,254
. a,254
i should,254
it be,253
to see,252
be a,251
we will,251
as the,251
", here",250
that the,249
let 's,249
with his,248
by my,248
'd .,247
"father ,",246
. what,245
if he,245
will you,245
is it,244
"do ,",244
have a,243
"will ,",242
me ?,242
him :,242
and let,241
is my,241
", though",241
so much,239
", yet",239
your grace,239
have you,239
", where",239
"lords ,",238
and yet,238
let him,237
", of",236
not .,236
"again ,",234
not a,234
you :,234
you will,233
"marry ,",233
to this,232
shall i,232
"death ,",230
"on ,",230
to have,229
father 's,229
and then,228
"heart ,",227
"more ,",225
", being",225
"thou ,",225
", all",224
for you,224
! what,224
to her,224
and he,224
as a,223
well .,223
"for ,",223
duke of,222
my life,222
have been,222
have i,221
must be,221
for your,221
of thy,221
you do,220
would have,219
may be,218
thou shalt,217
"faith ,",217
shall not,216
i may,216
are you,216
what i,215
her .,215
it was,215
be so,214
he was,214
is this,214
with her,214
"lady ,",211
if it,211
"be ,",211
in thy,210
i see,210
my good,210
"indeed ,",210
you must,209
you know,209
for this,208
art thou,207
'd with,207
go to,207
here 's,207
them .,206
aside ],206
"know ,",205
of him,205
with my,205
"away ,",205
that thou,202
"true ,",202
dost thou,202
but that,201
and with,201
for his,201
will i,200
"yet ,",200
", take",200
", now",199
to thee,199
"there ,",197
"night ,",197
of that,196
of you,196
him to,196
know not,196
full of,196
'd in,196
he will,195
"son ,",195
not the,193
the gods,193
he that,193
"time ,",193
is he,193
it :,192
"yes ,",191
i thank,190
tell you,190
but a,190
and not,190
"too ,",189
"done ,",189
. o,189
you not,188
"prithee ,",188
it not,187
when he,187
i could,187
the other,187
which i,187
", sweet",187
the time,186
"peace ,",186
be not,186
"speak ,",186
"see ,",186
in their,186
am i,185
where is,184
", at",183
a good,183
! ',183
"he ,",182
", an",182
you may,181
that we,180
he shall,180
. enter,180
"heaven ,",179
scene i.,179
", thy",177
the same,177
mine own,176
"out ,",176
this ?,175
and what,175
by this,174
"friends ,",174
is to,174
"brother ,",174
a little,174
"eyes ,",174
? i,174
"blood ,",174
with all,174
have done,173
was a,171
? what,171
", from",170
in her,170
as he,169
us .,169
for that,169
which is,168
scene ii,167
"alas ,",167
'd to,167
. come,167
"men ,",167
", whose",167
again .,167
the rest,167
in our,166
but to,166
into the,166
: you,166
ii .,165
"dead ,",164
house .,164
i love,164
"which ,",163
to our,163
"world ,",163
'll be,162
my love,162
it ?,162
for me,162
of mine,162
"therefore ,",161
and by,161
