ngram,count
", sir ,",1009
", my lord",954
"my lord ,",781
", i 'll",458
", i will",388
", 't is",342
", i am",334
", and i",310
"pray you ,",291
i ' the,288
my lord .,282
", and the",262
", sir .",262
i can not,259
o ' the,258
", and ,",252
", i have",248
i pray you,229
[ aside ],206
i will not,198
", it is",198
"how now ,",197
", then ,",195
", if you",193
"you , sir",191
"sir , i",185
", as i",182
", come ,",181
", i pray",165
scene ii .,165
", for i",161
i do not,150
", madam ,",149
i know not,148
"to me ,",146
", let me",143
", you are",141
", that i",140
", i say",140
", if i",138
", i do",138
", like a",137
"lord , i",135
", but i",135
scene iii .,134
", i would",134
i am not,133
", no ,",130
", my good",128
". come ,",128
my lord ?,128
i am a,126
", in the",125
't is a,124
", i think",123
"the king ,",123
", i know",122
", and so",120
i 'll be,120
and i will,119
the duke of,119
my good lord,119
", he is",119
"i say ,",118
", i can",117
", sir ?",117
the king 's,116
"me , and",116
"the world ,",114
there is no,114
i would not,114
can not be,113
this is the,112
", and that",112
", for the",112
", and my",111
what 's the,110
"come , come",109
", that 's",108
", by the",108
", ho !",107
"me , i",107
: i 'll,106
't is not,106
", and to",105
", and a",104
"to you ,",104
", and you",103
"tell me ,",103
", if thou",102
it is a,102
"with me ,",101
that i have,101
", you shall",100
", and he",99
"him , and",99
", and let",97
scene iv .,97
's house .,96
", this is",95
the same .,95
", with a",95
that i am,94
: i will,94
[ aside to,93
", let 's",93
"beseech you ,",93
"my life ,",93
"you , and",92
". o ,",91
", sir :",91
", thou art",91
it is not,90
"well , i",89
"i prithee ,",89
i have a,89
"why , then",88
: 't is,88
"you , my",88
", and in",88
". but ,",88
how now !,87
", and then",87
i will be,87
", that you",87
and i 'll,87
if it be,86
i thank you,86
", to the",85
", let us",85
"with him ,",85
"no , no",84
"to him ,",84
"of it ,",84
", by my",84
", you have",83
[ within ],83
", and all",83
", but ,",83
of it .,83
good my lord,82
", we 'll",82
my lord of,82
"with you ,",81
with you .,81
", he 's",81
"i think ,",81
", lords ,",81
", indeed ,",81
"it , and",80
", there 's",80
my father 's,80
", there is",79
", to be",78
", do not",78
"it is ,",78
", as you",78
", for ,",78
", i must",78
", if he",78
and all the,78
as i am,76
"ay , and",76
", when i",75
", and yet",75
a room in,74
"no more ,",74
it is the,74
"my liege ,",73
"not so ,",73
", and others",73
"my lords ,",72
i have done,72
", and be",72
"go to ,",72
to be a,72
", o ,",72
's the matter,72
", and not",71
: i am,71
", which is",71
"my heart ,",70
to me .,70
", let him",70
", and his",70
"good lord ,",70
", for my",69
i have heard,69
to the king,69
i am sure,69
i 'll not,69
"'d , and",69
thou art a,69
"good morrow ,",68
", my liege",68
i pray thee,68
to you .,68
"no , i",68
i 'll tell,68
exeunt all but,68
let me see,68
", give me",67
. the same,67
. i have,67
", or else",67
"pray thee ,",67
", i '",67
fare you well,67
"pardon me ,",67
. i 'll,67
no more .,66
", and there",66
"i am ,",66
", here 's",65
my lord !,65
all the world,65
", they are",65
: i have,65
the name of,65
i would have,65
the king .,65
", tell me",64
", good my",64
", and we",64
with him .,64
i had rather,64
. a room,64
"to thee ,",63
"come hither ,",63
in the world,63
the matter ?,63
"look you ,",63
i beseech you,63
"a man ,",63
"i will ,",62
"nay , i",62
"and , as",62
", if it",62
", my lords",62
"of france ,",62
. i am,62
there is a,62
"now , my",62
", we will",61
", i warrant",61
if you will,61
to him .,61
's palace .,61
"sir , you",61
", with the",61
"please you ,",60
"and you ,",60
it shall be,60
i have been,60
that i may,60
". now ,",59
there 's no,59
you are a,59
", i shall",59
"o , that",59
i 'll make,59
is not so,59
", for he",58
", and thou",58
"for me ,",58
. i will,58
"no , my",58
": but ,",58
go with me,58
"and , in",58
", what a",57
in such a,57
", she is",57
", but not",57
he is a,57
", you must",57
and in the,57
i ' faith,57
for you .,57
my lord :,56
here 's a,56
i have seen,56
"come on ,",56
[ reads ],56
this is a,56
what is the,56
not to be,55
", or i",55
", with his",55
"ay , my",55
me to the,55
", but that",55
't is true,55
", and with",55
i do beseech,55
", as the",55
duke of york,55
i am glad,54
", i hope",54
", thou hast",54
", i fear",54
"my soul ,",54
"your grace ,",54
", no more",54
"now , by",54
": and ,",54
", sir !",53
of all the,53
he 's a,53
i have no,53
with all my,53
"them , and",53
", that he",53
"o , i",53
i 'll give,52
"if not ,",52
", thou shalt",52
: it is,52
", madam .",52
"i do ,",52
"and so ,",52
i 'll have,52
enter a messenger,52
"my father ,",52
part of the,52
"be so ,",52
", i thank",52
a kind of,51
", will you",51
"sir , and",51
of the world,51
"thank you ,",51
", he hath",51
"my troth ,",51
and i am,51
give me leave,51
"of him ,",51
"come , let",51
"of you ,",51
", and it",50
as well as,50
", as it",50
"and , for",50
with me .,50
for i am,50
"lord , and",50
"of york ,",50
", and attendants",50
what say you,49
let it be,49
", boy ,",49
you shall not,49
", do you",49
", look you",49
"why , what",49
"tell you ,",49
i warrant you,49
ii . the,49
out of the,49
: but i,49
"of love ,",49
"i know ,",48
by my troth,48
", and for",48
give me your,48
i 'll go,48
", but to",48
know not what,48
i have not,48
"! why ,",48
"ay , but",48
i know you,47
"a king ,",47
", to make",47
"hear me ,",47
"he is ,",47
but i will,47
", and this",47
"by heaven ,",47
"me , my",47
"for you ,",47
't is the,47
"madam , i",47
", i beseech",46
", away !",46
", and will",46
all my heart,46
"well , sir",46
"of me ,",46
the field .,46
", sirrah ,",46
"the rest ,",46
the palace .,46
your father 's,46
", man ,",46
of the king,46
", i could",46
of him .,45
", what 's",45
", but the",45
": o ,",45
"thee , and",45
i am sorry,45
to thee .,45
and i have,45
"and i ,",45
i tell you,45
", nay ,",45
another part of,45
. a street,45
what i have,45
"with her ,",45
", that the",45
that you have,45
", that is",45
as i have,45
"i have ,",45
you can not,45
", marry ,",45
", how now",45
. enter king,44
", and they",44
", as he",44
", for it",44
"sir , to",44
", i should",44
", pardon me",44
", the king",44
". well ,",44
"o , let",44
"they say ,",43
", sure ,",43
me : i,43
i am the,43
", that ,",43
"him , i",43
", let it",43
"and , to",43
i will go,43
", we are",43
here comes the,43
", and therefore",43
there 's a,43
", in a",43
", go ,",43
", 't was",43
out of my,43
by and by,42
", which ,",42
"come , i",42
if i do,42
", that thou",42
will not be,42
", ay ,",42
", i was",42
is this ?,42
"on me ,",42
for i have,42
"to her ,",42
", from the",42
that 's the,42
iii . the,42
"ay , sir",42
", are you",42
who 's there,42
you are not,42
he can not,42
if he be,42
"o , my",41
i would i,41
: he is,41
"not , i",41
"i mean ,",41
"is true ,",41
a woman 's,41
i am no,41
", yea ,",41
", as thou",41
let me be,41
", when he",41
", who ,",41
", for a",41
give me thy,41
"why , this",41
", go to",41
it can not,41
", and c",41
"you know ,",41
i say !,41
that he is,41
is but a,41
", lady ,",41
"now , sir",40
me to my,40
the duke 's,40
"sir , that",40
"you , i",40
", good night",40
what is your,40
"i pray ,",40
"my love ,",40
"why , how",40
", warwick ,",40
a man of,40
a street .,40
the world .,40
"'s sake ,",40
", good sir",40
